r r r r b b
83 1172 9.808333 15.9 0 0
55 1084 10.166667 14.8 0 0
174 1089 8.929167 17.1 0 1
49 988 9.941667 16.700001 0 1
63 888 9.170834 17.5 0 1
97 990 9.375 17 0 1
100 1159 8.75 16.799999 0 1
80 1057 9.15 17 0 1
57 1098 8.966666 17 0 1
44 933 9.158334 17.299999 0 1
261 1144 7.570833 17.1 0 0
139 1020 8.354167 17.299999 0 1
58 958 8.5625 17.4 0 0
33 915 8.991667 17.5 0 0
58 1413 8.508333 16 0 0
90 1175 8.2 16.799999 0 0
49 1052 9.925 16.700001 0 1
69 844 9.183333 17.799999 0 0
95 939 9.3125 17.9 0 0
348 1144 8.016666 17.5 0 1
81 995 9.575 16.9 0 0
147 977 8.541667 17.4 0 1
75 865 9.058333 17.4 0 0
22 879 9.354167 17.200001 0 1
66 800 9.4 17.4 0 0
108 1733 8.354167 15.6 0 1
109 1298 7.741667 15 0 0
153 1598 7.754167 15.8 0 1
79 1698 8.3 16 0 1
164 737 16.991667 21.299999 0 0
272 728 16.570833 24.1 1 0
323 808 16.25 22.1 0 0
281 626 17.066668 31.5 1 0
82 607 17.833334 28.6 0 0
578 590 15.3375 32.400002 0 0
509 641 15.854167 32.200001 0 0
672 513 14.395833 31.4 0 0
319 467 16.445833 31.799999 1 0
262 403 16.15 30.200001 0 0
728 732 14.875 26.1 1 0
23 613 17.970833 21.1 1 0
277 550 17.216667 23.700001 1 0
175 635 17.608334 31.299999 1 0
416 669 16.445833 28.299999 1 0
306 578 17.308332 30.6 0 0
545 596 16.054167 28.700001 1 0
477 556 15.891666 33 1 0
538 645 15.85 32.700001 1 0
764 557 14.529166 33.299999 1 0
304 554 17.233334 31.9 1 0
889 466 13.05 32.200001 0 0
708 475 14.354167 33.099998 0 0
378 370 15.483334 31.1 0 0
388 428 16.637501 25.6 1 0
606 390 15.6125 27.1 1 0
740 503 15.1125 30.1 1 0
764 478 15.220834 31.1 1 0
1301 590 12.3625 31.5 1 0
699 500 14.920834 33.099998 1 0
551 518 16.174999 32.200001 1 0
840 476 14.154166 32.5 1 0
622 447 15.645833 31.5 1 0
804 445 13.495833 32.299999 0 0
631 423 14.616667 33.299999 0 0
665 422 14.1375 32 0 0
510 390 14.958333 31.5 0 0
748 442 13.45 31.4 1 0
150 266 17.5375 22.799999 1 0
135 248 17.5625 22.1 0 0
940 464 13.9875 30.6 1 0
1561 627 10.883333 31 1 0
1025 461 13.291667 29.5 1 0
567 342 15.633333 26.200001 1 0
846 448 13.9625 31.799999 1 0
939 471 13.729167 31.5 1 0
836 446 13.545834 32 0 0
126 307 17.666666 27.1 0 0
582 425 15.1125 27.700001 1 0
110 306 17.725 28.299999 1 0
812 439 12.970834 29.4 1 0
686 457 13.7 26.4 1 0
786 482 13.645833 27.299999 1 0
1170 520 10.666667 29.4 1 0
1258 560 10.220834 27 1 0
727 529 14.391666 26.4 1 0
4 327 18.3375 25.4 1 0
27 444 17.441668 22.700001 1 0
125 458 17.279167 24.4 1 0
281 459 15.704166 23.4 1 0
1105 574 10.983334 29.200001 0 0
856 412 11.533334 29.299999 0 0
840 431 11.941667 29.4 0 0
774 491 11.6375 29 0 0
704 406 12.066667 29.200001 0 0
1026 860 9.558333 24.5 1 1
939 593 10.704166 28.5 0 0
69 848 13.716666 17.799999 1 0
1566 604 8.495833 29.5 0 0
766 386 12.966666 29.799999 1 0
751 373 12.241667 29.4 0 0
965 419 11.408334 28.799999 1 0
789 486 11.654166 28.700001 0 0
806 503 11.608334 28.4 0 0
769 431 12.1 29.4 0 0
1307 904 8.095834 24.6 1 1
931 602 10.658334 27.4 1 0
1018 875 9.475 23 1 1
1086 730 9.4875 25.700001 1 0
108 836 13.629167 17.9 1 1
185 855 13.466666 18.6 1 1
664 429 13.745833 29.5 1 0
818 457 12.629167 29.9 1 0
943 473 11.354167 28.299999 1 0
1585 618 8.045834 28.1 1 0
1392 591 8.841666 28.700001 1 0
926 465 11.608334 28.700001 1 0
846 544 10.908334 26.9 1 0
838 467 11.5125 28.299999 1 0
1392 738 7.9125 26.700001 1 0
998 520 10.558333 28.200001 0 0
793 909 10.433333 21.299999 1 1
942 755 9.9125 24 1 0
570 997 11.4875 20.1 1 1
757 799 10.770833 23 1 1
173 1148 13.329166 17 1 0
12 1003 11.65 16.9 0 1
8 907 11.729167 17.9 1 0
39 950 11.708333 17.700001 0 0
1233 551 9.904166 30.299999 0 0
1081 508 10.504167 29.4 0 0
1014 483 11.025 29.5 1 0
1234 539 9.516666 29.4 1 0
1066 665 9.7625 27.1 1 0
1145 578 9.891666 29.200001 1 0
566 544 12.3125 27.6 1 0
1087 576 9.958333 29.1 1 0
603 1067 11.429167 20.700001 1 1
633 796 11.554167 23.299999 1 1
452 1193 12.370833 21.5 1 1
778 910 10.720834 25 1 0
183 1264 13.395833 17.299999 1 0
2 850 12.083333 19.799999 1 0
15 854 11.683333 18.700001 1 1
6 854 11.841666 19 1 0
29 785 11.520833 20.299999 1 1
16 818 11.7375 20.1 1 1
1485 596 8.404166 28.700001 1 0
1378 572 8.970834 26.700001 1 0
769 417 11.55 28 1 0
1090 476 9.9125 27.799999 0 0
685 403 11.9875 27.200001 1 0
1068 483 10.020833 26.299999 1 0
371 594 13.004167 27.4 1 0
431 419 13.183333 28.200001 1 0
648 613 11.120833 26.6 1 1
300 381 13.991667 28.299999 1 0
751 1201 10.158334 23.9 1 1
626 977 11.104167 26 1 1
575 1046 10.7625 24.299999 1 1
738 807 10.279166 25.700001 1 1
10 1261 13.433333 21.4 1 0
20 1313 13.691667 20.700001 1 0
88 1079 12.645833 24.5 1 0
85 1054 12.941667 24.1 1 0
20 1042 12.883333 22.1 1 0
28 1157 13.029166 22.4 1 0
38 956 12.645833 23.6 1 0
54 1034 12.7125 24.299999 1 0
5 833 12.7125 20.4 1 0
15 979 12.8375 21.9 1 0
39 851 12.491667 22.4 1 0
21 888 12.6625 22.799999 1 0
73 798 11.7625 21.1 1 0
4 805 12.620833 20.299999 1 0
175 781 11.216666 22.299999 1 0
13 778 12.429167 22 1 1
52 745 11.3625 21.799999 1 1
35 772 11.704166 21.5 1 0
55 675 11.375 22.799999 1 1
145 735 11.158334 22.6 1 1
1100 586 10.716666 25.4 1 0
208 379 14.966666 27.5 1 0
541 451 13.383333 26.4 1 0
991 709 8.95 25.4 1 0
346 406 13.329166 27.700001 1 0
749 959 9.620833 24.200001 1 1
1369 980 6.7 24.299999 1 1
99 924 12.529166 25.5 1 1
169 909 12.35 24.9 1 0
21 888 12.670834 24.6 1 0
95 930 12.383333 25.200001 1 0
30 845 12.420834 23.799999 1 0
83 887 12.2375 24.1 1 1
134 746 11.333333 23.6 1 1
148 834 11.508333 23.6 1 1
69 686 11.279166 23.700001 1 1
54 688 11.6 23.6 1 1
133 1118 9.708333 16.4 0 0
64 1077 9.841666 16.299999 0 0
67 1042 10.258333 17.1 0 0
108 1010 10.1875 17.200001 0 0
32 870 9.816667 17 0 0
32 870 9.816667 17 0 0
110 910 9.516666 16.299999 0 0
47 912 10.1125 17 0 0
48 911 9.720834 15.9 0 0
50 902 9.604167 16.1 0 0
92 1103 8.308333 17.299999 0 0
22 1026 8.929167 17.299999 0 0
49 1091 8.516666 18.1 0 0
17 1515 8.625 16.700001 0 0
192 1441 7.6 17 0 0
69 1486 8.220834 18.200001 0 0
95 1303 8.033334 18.200001 0 1
32 1102 11.158334 16 1 1
40 1111 11.366667 15.9 1 0
63 994 10.333333 16.700001 0 0
28 860 10.029166 18.5 0 0
150 1139 10.404166 17.9 0 0
195 1097 9.720834 17.700001 0 0
66 1022 9.8625 18.299999 0 0
57 876 9.566667 19.1 0 0
225 1291 8.908334 17.200001 0 1
103 1179 10.025 17.799999 0 0
302 1352 8.304167 19.200001 0 1
322 1321 8.454166 19.799999 0 0
376 1252 7.816667 17.700001 0 1
103 1112 9.241667 16.700001 0 1
267 1035 7.995833 18.700001 0 1
260 1214 8.1 18.700001 0 1
62 953 9.416667 16.9 0 0
19 786 9.275 18.6 0 0
30 1088 8.479167 18.4 0 1
58 1007 8.454166 18.799999 0 1
145 1069 8.0375 19.1 0 1
176 1281 7.679167 18.6 0 0
354 1480 6.6875 18.700001 0 1
324 1035 7.066667 19.1 0 0
172 1173 7.775 18.5 0 1
77 1043 10.945833 16.700001 1 1
107 1073 11.016666 16.700001 1 0
139 936 10.725 17.5 1 1
172 980 10.704166 17.6 1 1
1 880 11.366667 17.299999 1 0
32 801 9.933333 19.6 0 0
78 908 11.020833 17.4 1 0
161 889 8.9 20.200001 0 0
149 860 9.120833 19.799999 0 0
127 751 9.358334 20.700001 0 0
27 800 9.895833 20.1 0 0
96 722 9.466666 19.299999 0 0
134 835 9.4125 19.5 0 0
64 645 9.5625 20.299999 0 0
144 693 9.204166 20.6 0 0
62 777 9.1375 19.1 0 0
152 739 8.6125 19.799999 0 1
292 1012 8.5 19.700001 0 0
136 721 9.179167 19.9 0 0
233 1319 8.054167 19 0 1
31 932 9.525 18.9 0 0
213 1028 8.6625 19.4 0 0
355 1154 8.2625 19.6 0 1
342 1093 7.029167 19.6 0 0
298 1236 7.429167 19.5 0 1
181 744 8.020833 19 0 1
341 997 7.4125 19.299999 0 1
265 852 7.158333 20 0 0
343 1000 6.858333 19.700001 0 1
5 689 8.641666 18.5 0 1
98 706 8.120833 18.5 0 1
68 785 11.220834 18.4 1 0
108 821 11.025 18.700001 1 0
22 727 11.358334 18.799999 1 0
64 731 11.154166 20.4 1 0
11 867 11.6875 17.700001 1 1
9 851 11.270833 16.700001 1 0
129 768 9.575 20.799999 0 0
33 819 10.45 20.4 0 0
105 681 9.745833 22.1 0 0
10 718 10.133333 21.200001 0 0
129 622 9.3375 21 0 0
94 676 9.716666 20.6 0 0
52 586 9.929167 21.799999 0 0
57 643 10.075 22 0 0
89 669 9.504167 21.1 0 0
101 636 9.483334 21.5 0 0
38 585 9.6375 21.5 0 0
39 570 9.708333 21.6 0 0
12 612 9.341666 19.1 0 1
27 616 9.6375 20 0 1
10 693 9.5875 19.1 0 0
19 611 9.483334 20.200001 0 0
63 674 8.75 18.9 0 0
254 793 7.970833 19 0 1
134 858 8.908334 18.9 0 1
94 755 10.95 20.200001 1 1
88 738 11.004167 21.6 1 1
187 760 10.170834 21.4 1 1
98 721 10.854167 22.5 1 1
12 814 11.429167 17.5 1 1
127 798 10.816667 19.200001 1 1
18 712 10.841666 19.700001 1 0
183 757 10.0875 20.6 1 1
217 760 9.9 22.700001 1 1
110 734 10.704166 23.299999 1 1
208 1875 7.9125 17 0 1
123 1747 8.316667 16.9 0 1
385 2037 6.670833 18.700001 0 1
274 1914 7.333333 18.4 0 0
372 1477 6.445833 18 0 1
354 1790 6.558333 18.700001 0 1
82 1073 8.3625 16.4 0 1
255 1263 7.170833 17.299999 0 1
572 1650 5.3 20.4 0 1
187 1399 7.6125 19 0 0
149 817 7.545833 19.9 0 1
160 814 7.754167 19.6 0 1
101 808 7.591667 19.6 0 1
620 1434 4.825 21 0 1
156 748 7.445833 19.4 0 1
657 1122 4.645833 20 0 1
146 912 7.495833 16.799999 0 1
171 863 7.329167 18.4 0 1
109 832 7.175 16.700001 0 1
211 826 6.895833 17.700001 0 0
159 970 6.758333 15.5 0 0
52 691 8.0625 19 0 1
39 668 8.220834 19.4 0 0
104 792 8.0125 18 0 1
183 791 7.395833 18.6 0 1
17 814 8.425 17.799999 0 0
15 786 8.429167 18 0 0
0 461 17.195833 23.200001 1 0
308 528 15.4 24.200001 1 0
255 443 14.920834 27.9 1 0
572 547 13.479167 26.200001 1 0
692 688 10.845834 26.6 0 0
254 437 14.1375 29.200001 1 0
594 883 10.504167 24.9 1 1
1636 1120 5.420833 23.6 1 1
129 818 12.370833 25.5 1 1
205 820 12.175 25.299999 1 0
73 866 12.441667 25.1 1 1
49 825 12.633333 25.4 1 0
107 872 11.966666 24.6 1 0
123 893 12.033334 24.700001 1 0
656 642 12.829166 25.200001 1 0
201 580 15.616667 24.1 1 0
150 593 15.754167 21.700001 1 0
911 860 10.120833 25.700001 1 1
264 517 14.441667 27.9 1 0
1109 896 9.35 24.299999 1 1
606 676 12.783334 24.5 1 0
401 794 11.7875 25.700001 1 1
2249 1353 2.466667 22.6 1 1
397 772 12.041667 25.6 1 1
1740 1193 5.3125 23.1 1 1
109 752 12.508333 25.6 1 0
209 760 12.266666 25.6 1 0
124 742 12.841666 26.1 1 1
159 698 12.7625 26 1 1
151 868 12.191667 25.4 1 0
115 792 12.433333 25.5 1 0
211 840 12.266666 25.799999 1 1
231 810 12.283334 25.9 1 0
274 970 11.1875 24.799999 1 1
181 933 11.854167 25.200001 1 0
361 1050 10.8625 25.1 1 1
367 991 11.079166 25.299999 1 1
120 742 11.383333 24.299999 1 1
171 853 11.383333 24.700001 1 1
130 747 11.229167 24.5 1 1
332 929 10.5875 24.700001 1 1
139 683 11.045834 24.200001 1 1
104 701 11.395833 24.200001 1 1
91 650 11.108334 24.4 1 1
155 711 10.954166 24.299999 1 1
10 619 16.674999 21.299999 1 0
1228 950 9.054167 23.1 1 1
654 731 12.866667 22.9 1 0
336 763 14.008333 23.5 1 1
101 726 15.533334 22.5 1 0
342 779 12.6125 25.4 1 0
1262 1008 8.245833 23.5 1 1
177 676 14.020833 25.700001 1 0
143 639 14.670834 25.1 1 1
321 773 12.304167 26.4 1 1
201 758 12.983334 26.1 1 1
686 786 11.083333 26.5 1 0
837 856 10.304167 25.4 1 1
604 859 10.333333 25.6 1 0
411 793 11.720834 26.299999 1 1
955 838 8.483334 25.200001 1 1
644 756 10.991667 26.6 1 1
803 965 8.441667 24.5 1 1
627 899 9.745833 25.200001 1 1
868 840 8.016666 24.5 1 1
999 865 7.6 24.6 1 1
201 736 10.95 24.700001 1 1
429 847 10.058333 24.799999 1 1
212 740 10.904166 25.1 1 1
456 769 9.891666 25.200001 1 1
130 668 10.933333 24.6 1 1
137 689 11.0625 24.6 1 1
176 699 10.816667 24.6 1 1
230 741 10.6625 24.700001 1 1
178 614 14.966666 22.9 1 0
93 579 15.725 21.700001 1 0
19 644 14.754167 26.200001 1 0
762 768 10.654166 26.5 1 0
266 707 13.304167 26.6 1 0
335 744 12.245833 27.299999 1 0
25 746 13.941667 27 1 0
969 768 8.283334 25.4 1 0
816 754 9.916667 26.4 1 0
946 750 8.104167 25.700001 1 1
887 809 8.829166 25.700001 1 1
388 640 10.654166 26.5 1 1
500 645 10.3625 26.4 1 1
722 779 8.8 25.799999 1 1
977 800 7.5875 25.299999 1 1
230 749 10.729167 25.299999 1 1
286 725 10.770833 26.299999 1 1
309 766 10.65 24.9 1 1
308 735 10.766666 26.1 1 1
263 723 10.429167 24.700001 1 1
286 760 10.316667 24.6 1 1
259 749 10.516666 24.799999 1 1
468 832 9.708333 24 1 1
3 584 14.345834 26.4 0 0
164 762 13.004167 27.799999 1 0
1 669 14.1625 27.200001 1 0
636 825 10.2375 26.4 1 1
164 626 13.175 26.9 1 0
613 851 9.820833 27 1 1
265 816 12.120833 27.700001 1 1
961 1025 7.808333 26.700001 1 1
695 891 9.6 26.9 1 1
519 829 9.870833 26.700001 1 1
767 894 8.7 26.4 1 1
265 867 11.145833 27.9 1 1
450 956 10.45 28.299999 1 1
341 799 10.4 25.4 1 1
530 860 9.545834 25.700001 1 1
196 822 10.9875 26.700001 1 1
240 846 10.958333 27.200001 1 1
381 821 9.708333 25 1 1
424 826 9.845834 25 1 1
308 824 10 25.5 1 1
183 797 10.920834 26.5 1 1
88 667 14.625 23.299999 1 0
549 768 11.079166 26.5 1 1
432 727 12.0625 25.4 1 0
914 1005 8.129167 28 1 1
854 899 8.883333 27.5 1 1
344 915 10.65 28.4 1 1
786 1050 8.55 28.1 1 1
663 1143 8.491667 26 1 1
999 1284 7.025 26.200001 1 1
234 925 10.220834 26.1 1 1
369 1032 9.929167 26 1 1
243 719 9.679167 22.799999 1 1
110 675 10.745833 23.799999 1 1
196 653 10 23 1 0
144 645 10.583333 23.9 1 1
66 691 10.458333 21.799999 1 1
209 710 9.754167 22.299999 1 1
137 702 10.279166 22.5 1 1
141 626 10.05 22.4 1 0
53 708 10.4625 21.200001 1 0
102 696 10.279166 21.299999 1 1
48 654 10.116667 20.9 0 0
1 718 10.316667 20.700001 0 0
42 608 10.125 19.5 0 0
106 650 9.841666 19.4 0 0
97 561 9.2625 21 0 0
40 593 10.058333 21.200001 0 0
33 572 9.916667 20.200001 0 0
10 548 10.1625 20.1 0 0
7 597 9.608334 20.9 0 0
9 569 9.516666 21.299999 0 0
49 645 10.095834 20.4 0 0
44 623 9.808333 20.5 0 0
11 677 9.629167 19.9 0 0
2 629 9.6875 20.5 0 0
153 644 10.416667 23.299999 1 0
125 638 10.733334 24.200001 1 1
79 643 11.045834 24.299999 1 1
88 645 11.0875 24.5 1 1
157 674 9.9375 22.799999 1 1
99 632 10.55 23.1 1 0
85 645 10.354167 23.4 1 1
70 646 10.995833 24.200001 1 1
65 650 10.304167 20.5 1 0
101 666 10.133333 21.6 1 1
129 685 9.758333 21.5 1 0
76 651 10.129167 22.299999 1 0
119 664 9.9875 19.200001 1 0
2 659 10.166667 19.4 0 0
33 674 10.2125 20.4 1 0
3 589 9.866667 19.1 0 0
7 599 9.933333 18.9 0 0
144 644 10.204166 24.6 1 1
193 676 10.470834 24.799999 1 1
109 632 10.275 25.1 1 1
163 688 10.454166 25.1 1 1
104 622 9.941667 23.700001 1 1
179 649 9.85 24.299999 1 1
82 662 10.195833 24.700001 1 1
111 626 10.1375 25 1 1
63 696 9.966666 22.6 1 1
117 678 9.7 23 1 0
174 869 9.541667 23.4 1 1
206 863 9.370833 23.6 1 1
3 734 10.154166 19.9 1 0
25 723 10.133333 21.700001 0 0
3 765 10.1875 21.4 1 0
52 793 10.179167 22.9 1 0
0 725 10.104167 19.1 0 0
1 766 9.716666 20.1 0 0
0 762 9.891666 20.299999 0 0
128 665 10.1875 25.1 1 1
282 748 9.691667 25.1 1 1
332 739 9.116667 24.6 1 1
403 839 9.070833 24.700001 1 1
153 811 9.829166 24.4 1 1
174 708 9.8375 24.799999 1 1
234 892 9.4125 24 1 1
289 745 9.25 24.299999 1 1
234 924 9.208333 23.4 1 1
332 1014 8.75 23.6 1 1
379 1003 8.304167 22.6 1 1
469 1115 7.975 23 1 1
17 792 9.9125 22.299999 1 0
98 817 9.8 23.200001 1 0
34 783 9.608334 22.200001 1 1
116 849 9.554167 22.5 1 1
-2 798 9.4625 21.1 0 0
4 791 9.7125 21.700001 1 1
11 785 9.304167 22.1 0 1
12 770 9.504167 22.1 1 1
0 772 8.916667 19.6 0 0
-3 787 9.154166 20.4 0 1
0 788 8.920834 21.1 1 1
-4 785 9.125 21.5 0 1
1 801 8.7625 20.6 0 0
375 819 8.929167 25 1 1
350 883 9.233334 25.5 1 1
364 878 8.8625 24 0 0
345 633 15.0375 23.5 0 1
57 732 14.866667 22.5 1 0
1036 878 8.9 25.4 1 1
475 789 12.120833 24.700001 1 0
2519 1623 0.0375 22.200001 1 1
1111 903 8.116667 27.6 1 1
1070 1175 7.095833 27.799999 1 1
1242 1180 6.458333 27.6 1 1
1615 1055 6.025 23.9 1 1
286 845 13.166667 24 1 0
2048 1198 3.841667 21.5 1 1
472 829 13.020833 22.6 1 0
2060 1355 2.845833 24.1 1 1
1991 1227 3.658333 23.5 1 1
326 793 12.4125 29.5 1 1
722 798 11.070833 25.6 1 1
2270 1729 0.845833 23.700001 1 1
2310 1632 0.983333 23.5 1 1
1700 1360 3.9375 24.799999 1 1
1697 1268 4.475 24.799999 1 1
609 1012 8.295834 26.6 1 1
1486 1449 4.466667 25.6 1 1
1191 1293 5.404167 24.5 1 1
1349 1251 5.1 25.299999 1 1
389 986 9.420834 26.6 1 1
1030 1327 6.070833 25 1 1
369 806 9.5875 25.200001 1 1
543 946 8.620833 25.6 1 1
99 612 15.916667 21.1 0 0
89 592 15.975 20.299999 0 1
687 783 12.091666 20.4 0 1
234 647 14.475 20.299999 0 0
125 747 14.879167 21.6 0 0
438 818 13.029166 23 1 1
200 736 12.470834 28.200001 1 0
608 799 11.416667 24.1 1 0
105 967 12.895833 28.1 1 0
445 1036 11.6125 24.5 1 0
1285 1200 6.220833 25.1 1 1
270 878 11.508333 29.6 1 1
296 1193 11.225 29.5 1 1
126 1019 12.2375 30.799999 1 0
1445 1523 4.1125 23.1 1 1
2107 1715 0.9125 21.9 1 1
2047 1804 0.8625 21 1 1
1156 1379 6.579167 24.4 1 1
528 1049 8.679167 25.4 1 1
584 1104 8.479167 25.200001 1 1
454 1023 9.125 26.1 1 1
531 1141 8.933333 25.6 1 1
141 515 16.129168 21.799999 0 1
70 539 15.954166 19.799999 0 0
472 685 13.9375 21.799999 0 1
568 713 12.675 20.5 0 1
728 700 12.129167 20 0 0
20 774 15.504167 22.4 0 0
93 762 14.95 22.700001 0 0
325 610 14.470834 20.299999 0 1
105 958 14.370833 24 1 1
455 990 10.908334 28.200001 1 0
525 1011 11.2625 24.5 1 0
97 780 12.783334 31.4 1 0
746 901 9.9125 25 0 0
329 1162 11.779166 28.6 1 1
104 967 12.9375 30 1 1
646 949 10.1875 29.4 1 1
84 869 12.9 31.200001 1 0
1463 1370 4.55 23.5 1 1
1545 1318 4.770833 23.5 1 1
2373 1419 -0.554167 20.200001 1 1
1789 1105 3.404167 23.5 1 1
469 1004 9.241667 26.4 1 1
1149 1297 5.854167 24.700001 1 1
732 1108 7.204167 27.299999 1 1
1517 1187 3.7 24.5 1 1
20 520 15.754167 22.299999 1 1
120 697 15.033334 23.9 1 1
116 593 15.516666 21.299999 0 1
448 700 13.275 25.1 1 1
82 593 14.920834 24.4 1 1
903 893 9.416667 24.200001 1 1
60 845 14.620833 25.9 1 1
668 954 10.454166 25.700001 1 0
302 845 13.4125 27.200001 1 0
21 820 12.908334 30.799999 1 0
544 893 10.841666 27.1 1 0
7 751 13.645833 30 1 0
226 826 12.929167 29.700001 1 0
912 817 8.570833 28.4 1 1
97 834 12.5625 30.700001 1 0
894 832 8.675 28.299999 1 1
83 846 13.1375 29.299999 1 0
2003 1006 1.683333 23.200001 1 1
2286 1007 0.608333 21.299999 1 1
1529 869 4.416667 26.299999 1 1
885 784 8.5 29.700001 1 1
1046 1049 5.775 26.299999 1 0
1695 1041 2.970833 24.6 1 0
1029 1032 6.295833 26.6 1 1
2045 1142 1.0625 23.200001 1 1
62 650 15.704166 23.6 1 1
422 726 12.741667 26.4 1 1
401 641 13.741667 25.799999 1 1
886 909 9.408334 24.5 1 0
569 825 11.320833 26.299999 1 0
1 692 13.679167 28.6 1 0
24 702 13.75 29.299999 0 0
182 954 12.395833 30 1 1
23 882 13.475 28.9 1 0
1370 870 4.95 29.4 0 1
1650 927 4.054167 26.1 1 1
1214 1061 4.958333 27.9 1 0
2082 1195 0.679167 24.299999 1 1
543 987 7.2375 22.299999 1 1
322 734 8.583333 23.6 1 1
290 725 8.783334 23.5 1 1
459 757 7.804167 23.5 1 1
50 796 10.066667 23.4 1 1
239 888 9.166667 22.700001 1 1
272 930 8.758333 23.200001 1 1
141 773 9.5625 23.799999 1 1
16 767 9.5 22.5 1 1
31 781 9.941667 23 1 1
87 813 9.070833 22.6 1 1
75 824 9.6625 23.1 1 1
11 787 8.741667 22.4 1 1
6 773 9.045834 22.4 1 1
-1 779 8.966666 22.5 1 0
17 777 9.0125 22.5 1 1
-1 799 8.675 21.6 1 0
-1 785 8.9 21.700001 1 1
254 767 9.495833 25.5 1 1
484 973 8.5125 25.700001 1 1
557 881 8.004167 25 1 1
428 779 8.945833 25.200001 1 1
268 767 9.35 25.299999 1 1
256 766 9.45 25.5 1 1
338 751 8.6 25.200001 1 1
308 745 9.0625 25.4 1 1
336 718 8.379167 24.5 1 1
157 583 9.258333 25.5 1 1
297 732 8.7125 25.6 1 1
110 626 9.775 26.799999 1 1
373 975 7.854167 22.9 1 1
386 879 8 23.6 1 1
633 1185 6.275 22.799999 1 1
318 820 8.316667 24.799999 1 1
64 814 9.2875 22.9 1 1
79 821 9.316667 23 1 1
106 817 8.895833 23.200001 1 1
95 803 9.183333 23.4 1 1
5 783 8.725 22.799999 0 1
40 805 8.85 23.299999 1 1
10 748 8.804167 23.4 0 1
38 768 8.833333 23.4 1 1
-1 787 8.7625 20.799999 0 0
5 783 8.645833 21.5 0 1
6 785 8.495833 23.299999 1 1
1 754 8.795834 23.299999 0 1
